asset     strategy        span                    trd   win%       net$   expR   netR    PF     maxDD$
------------------------------------------------------------------------------------------------------
BTC(D)    trend_follow    2023-06-12->2026-09-23   21   9.5%     -88960  -0.71  -14.9  0.19     -88960
BTC(D)    hybrid_core     2023-06-12->2026-09-23   39  23.1%     -59232  -0.29  -11.1  0.60     -67450
BTC(D)    hybrid_scale    2023-06-12->2026-09-23   36  13.9%    -193066  -1.47  -53.0  0.68    -273319

SPY(D)    trend_follow    2021-12-10->2026-09-23    7  28.6%        328   3.63   25.4  5.26        -77
SPY(D)    hybrid_core     2021-12-10->2026-09-23   64  45.3%        209   0.33   21.0  1.57        -86
SPY(D)    hybrid_scale    2021-12-10->2026-09-23   41  24.4%       2675   4.46  182.7  3.78       -330

GOLD(60m) trend_follow    2026-07-14->2026-09-24   15  33.3%        734   0.06    0.8  1.20      -1872
GOLD(60m) hybrid_core     2026-07-14->2026-09-24   64  29.7%      -3320  -0.16  -10.2  0.76      -4373
GOLD(60m) hybrid_scale    2026-07-14->2026-09-24   36  22.2%      10531   1.44   51.8  1.30     -15269

MES(60m)  trend_follow    2026-01-06->2026-09-24   69  29.0%        250  -0.07   -5.0  1.03      -2406
MES(60m)  hybrid_core     2026-01-06->2026-09-24  186  37.1%        -10   0.05    9.5  1.00      -3058
MES(60m)  hybrid_scale    2026-01-06->2026-09-24  127  23.6%      24181   1.75  221.8  1.42     -11590

